indicator,region,Unit,Date,Value
Overall Monthly Inflation,Zambia,Percent,2022M3,0.77
Overall Monthly Inflation,Zambia,Percent,2022M4,0.68
Overall Monthly Inflation,Zambia,Percent,2022M5,0.85
Overall Monthly Inflation,Zambia,Percent,2022M6,0.91
Overall Monthly Inflation,Zambia,Percent,2022M7,0.44
Overall Monthly Inflation,Zambia,Percent,2022M8,0.26
Overall Monthly Inflation,Zambia,Percent,2022M9,-0.35
Overall Monthly Inflation,Zambia,Percent,2022M10,0.19
Overall Monthly Inflation,Zambia,Percent,2022M11,0.7
Overall Monthly Inflation,Zambia,Percent,2022M12,0.77
Overall Monthly Inflation,Zambia,Percent,2023M1,2.07
Overall Monthly Inflation,Zambia,Percent,2023M2,1.95
Overall Monthly Inflation,Zambia,Percent,2023M3,1.04
Overall Monthly Inflation,Zambia,Percent,2023M4,0.93
Overall Monthly Inflation,Zambia,Percent,2023M5,0.59
Overall Monthly Inflation,Zambia,Percent,2023M6,0.8
Overall Monthly Inflation,Zambia,Percent,2023M7,0.89
Overall Monthly Inflation,Zambia,Percent,2023M8,0.8
Overall Monthly Inflation,Zambia,Percent,2023M9,0.66
Overall Monthly Inflation,Zambia,Percent,2023M10,0.76
Overall Monthly Inflation,Zambia,Percent,2023M11,0.92
Overall Monthly Inflation,Zambia,Percent,2023M12,0.98
Overall Monthly Inflation,Zambia,Percent,2024M1,2.13
Overall Monthly Inflation,Zambia,Percent,2024M2,2.24
Overall Monthly Inflation,Zambia,Percent,2024M3,1.25
Overall Monthly Inflation,Zambia,Percent,2024M4,0.99
Overall Monthly Inflation,Zambia,Percent,2024M5,1.38
Overall Monthly Inflation,Zambia,Percent,2024M6,1.28
Overall Monthly Inflation,Zambia,Percent,2024M7,1
Overall Monthly Inflation,Zambia,Percent,2024M8,0.87
Overall Monthly Inflation,Zambia,Percent,2024M9,0.78
Overall Monthly Inflation,Zambia,Percent,2024M10,0.8
Overall Monthly Inflation,Zambia,Percent,2024M11,1.6
Overall Monthly Inflation,Zambia,Percent,2024M12,1.2
Overall Monthly Inflation,Zambia,Percent,2025M1,2.1
Overall Monthly Inflation,Zambia,Percent,2025M2,2.4
Overall Monthly Inflation,Zambia,Percent,2025M3,1
Overall Monthly Inflation,Zambia,Percent,2025M4,1
Overall Monthly Inflation,Zambia,Percent,2025M5,0.3
Overall Monthly Inflation,Zambia,Percent,2025M6,0.2
Overall Monthly Inflation,Zambia,Percent,2025M7,0.1
Overall Monthly Inflation,Zambia,Percent,2025M8,0.5
Overall Monthly Inflation,Zambia,Percent,2025M9,0.5
Overall Monthly Inflation,Zambia,Percent,2025M10,0.4
Overall Monthly Inflation,Zambia,Percent,2025M11,0.7
Overall Monthly Inflation,Zambia,Percent,2025M12,1.5
